Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-22,ADANIENT,EQ,145.95,145.4,146.65,141.7,145.6,145.7,144.39,2261667,32656862020000.0,11604,208696,0.09230000000000001
2019-01-23,ADANIENT,EQ,145.7,145.5,146.5,142.05,142.2,143.0,143.88,2322990,33423295860000.004,11100,534065,0.2299
2019-01-24,ADANIENT,EQ,143.0,143.0,144.05,141.1,142.95,142.55,142.44,1678843,23913153890000.0,8688,239528,0.1427
2019-01-25,ADANIENT,EQ,142.55,142.85,145.45,136.15,137.0,137.35,140.96,3297651,46483076235000.0,17143,482712,0.1464
2019-01-28,ADANIENT,EQ,137.35,138.0,141.0,118.95,138.0,136.4,133.62,9404485,125660312690000.02,45870,512287,0.0545
2019-01-29,ADANIENT,EQ,136.4,136.45,143.8,133.6,139.65,140.8,138.55,4301493,59596775960000.0,29415,315218,0.0733
2019-01-30,ADANIENT,EQ,140.8,140.9,141.5,136.5,138.9,139.9,138.76,3102926,43057323240000.0,19542,197483,0.0636
2019-01-31,ADANIENT,EQ,139.9,139.5,141.75,135.0,136.0,137.15,137.9,3498642,48247233420000.0,19195,683640,0.1954
2019-02-01,ADANIENT,EQ,137.15,136.95,144.8,134.55,142.65,143.0,140.8,7091209,99841856955000.0,43786,2949171,0.41590000000000005
2019-02-04,ADANIENT,EQ,143.0,142.9,142.9,121.3,121.95,123.1,127.65,9832462,125510853350000.0,55474,1795228,0.1826
2019-02-05,ADANIENT,EQ,123.1,122.0,127.4,119.6,122.05,124.25,124.08,8484607,105277215905000.0,39749,1577123,0.1859
2019-02-06,ADANIENT,EQ,124.25,123.85,124.2,114.8,121.95,122.9,120.21,9905219,119074053005000.0,45393,809672,0.0817
2019-02-07,ADANIENT,EQ,122.9,122.2,126.8,119.05,123.3,123.95,123.26,9826247,121116299925000.0,53136,473236,0.04820000000000001
2019-02-08,ADANIENT,EQ,123.95,123.0,125.45,115.7,122.0,123.75,121.91,8059813,98260089350000.0,45346,877430,0.10890000000000001
2019-02-11,ADANIENT,EQ,123.75,122.95,123.25,115.8,117.2,118.2,118.81,7048335,83738480790000.0,33383,1217715,0.1728
2019-02-12,ADANIENT,EQ,118.2,117.2,120.0,115.35,115.65,116.95,117.58,3698931,43493877895000.0,20767,535200,0.14470000000000002
2019-02-13,ADANIENT,EQ,116.95,117.0,125.6,115.5,115.95,119.55,120.92,9784596,118310658145000.0,50621,797385,0.0815
2019-02-14,ADANIENT,EQ,119.55,118.45,119.5,116.0,117.8,118.1,117.5,4962697,58312769890000.0,33691,585832,0.11800000000000001
2019-02-15,ADANIENT,EQ,118.1,118.15,121.15,116.5,118.2,119.8,118.96,4509378,53645182335000.0,24725,331429,0.0735
2019-02-18,ADANIENT,EQ,119.8,118.3,119.9,116.1,117.15,117.5,118.02,2569451,30323897589999.996,16074,249472,0.0971
2019-02-19,ADANIENT,EQ,117.5,118.4,119.8,116.8,116.8,118.25,118.27,2644152,31273443414999.996,13436,205911,0.0779
2019-02-20,ADANIENT,EQ,118.25,117.95,121.1,116.2,118.8,120.05,119.6,3739081,44717728580000.0,18731,579573,0.155
2019-02-21,ADANIENT,EQ,120.05,119.8,121.0,117.9,119.05,119.4,119.54,2698192,32255441389999.996,18870,382374,0.1417
2019-02-22,ADANIENT,EQ,119.4,120.25,130.7,119.8,124.5,128.05,125.81,14695085,184885122770000.0,73657,1514508,0.10310000000000001
2019-02-25,ADANIENT,EQ,128.05,125.0,133.9,123.0,130.65,132.0,129.6,12769956,165493616340000.0,70459,1236868,0.0969
2019-02-26,ADANIENT,EQ,132.0,130.0,134.3,128.0,133.0,132.1,131.44,8879092,116709869550000.0,47200,1042637,0.1174
2019-02-27,ADANIENT,EQ,132.1,133.8,136.3,129.55,131.8,132.25,133.27,5875292,78301083515000.0,33105,722711,0.12300000000000001
2019-02-28,ADANIENT,EQ,132.25,133.5,134.2,128.0,128.25,128.85,131.28,3960957,51998530930000.0,20455,970554,0.245
2019-03-01,ADANIENT,EQ,128.85,130.35,135.2,128.85,133.0,133.85,132.7,7738116,102682281235000.0,37896,2687187,0.3473
2019-03-05,ADANIENT,EQ,133.85,132.5,143.7,132.0,140.0,141.8,139.24,7598974,105807233745000.0,45175,1676779,0.2207
2019-03-06,ADANIENT,EQ,141.8,142.75,143.75,138.2,138.7,139.25,140.48,4856085,68218346810000.0,25264,991160,0.2041
2019-03-07,ADANIENT,EQ,139.25,139.0,140.95,135.3,136.95,136.9,138.23,3496617,48332948425000.0,21476,303933,0.08689999999999999
2019-03-08,ADANIENT,EQ,136.9,135.75,139.35,135.4,137.55,138.2,137.54,3681442,50632779550000.0,26547,376494,0.1023
2019-03-11,ADANIENT,EQ,138.2,137.85,140.95,137.6,139.15,139.05,139.49,2550759,35579775550000.0,14684,454103,0.17800000000000002
